maf,n_missing,missing_rate,n_threads,algorithm,ploidy,duration_mins,frac_imputed,mae_frequencies,rmse_frequencies,r2_frequencies,mae_classes,rmse_classes,r2_classes,concordance_classes,highConf_mae_frequencies,highConf_rmse_frequencies,highConf_r2_frequencies,highConf_mae_classes,highConf_rmse_classes,highConf_r2_classes,highConf_concordance_classes,mae_0,mae_0.1,mae_0.2,mae_0.3,mae_0.4,mae_0.5,mae_0.6,mae_0.7,mae_0.8,mae_0.9,mae_1,rep
0.05,32663,0.6,32,mvi,2,0.00466378927230835,0.993754401004194,0.172128750978157,0.217183507690635,0.0575833650821052,0.124957638867494,0.252258048528757,-0.271391550022027,0.752395329492591,0.172128750978157,0.217183507690635,0.0575833650821052,0.124957638867494,0.252258048528757,-0.271391550022027,0.752395329492591,0.112511787816064,NA,NA,NA,NA,0.350075274894626,NA,NA,NA,NA,0.689375881578947,1
0.05,32663,0.6,32,aldknni_fixed,2,0.0131301442782084,0.964547040994397,0.133127162863038,0.214032313628963,0.0847326936450421,0.114632598000317,0.241946951312975,-0.169579009708706,0.773178860498334,0.133127162863038,0.214032313628963,0.0847326936450421,0.114632598000317,0.241946951312975,-0.169579009708706,0.773178860498334,0.0591506368853146,NA,NA,NA,NA,0.356670569498852,NA,NA,NA,NA,0.620950592105263,1
0.05,32663,0.6,32,aldknni_optim,2,0.295510327816009,0.964547040994397,0.121283339819076,0.213957324479846,0.0853739341355876,0.111283923186796,0.238128714932527,-0.132955348160284,0.779558800190446,0.121283339819076,0.213957324479846,0.0853739341355876,0.111283923186796,0.238128714932527,-0.132955348160284,0.779558800190446,0.0436614930049426,NA,NA,NA,NA,0.35732159786573,NA,NA,NA,NA,0.585111175438596,1
0.05,32663,0.6,32,linkimpute,2,0.0322198470433553,0.993754401004194,0.115253088511661,0.244474348252301,-0.194141664024562,0.115253088511661,0.244474348252301,-0.194141664024562,0.773776148371792,0.115253088511661,0.244474348252301,-0.194141664024562,0.115253088511661,0.244474348252301,-0.194141664024562,0.773776148371792,0.0216932505377653,NA,NA,NA,NA,0.401145943097998,NA,NA,NA,NA,0.706140350877193,1
0.05,32663,0.6,32,mvi,2,0.00339129368464152,0.997030278908857,0.1726927908862,0.217098904618452,0.0584656003156038,0.124270711785298,0.251355106467684,-0.262107515513267,0.753546643738869,0.1726927908862,0.217098904618452,0.0584656003156038,0.124270711785298,0.251355106467684,-0.262107515513267,0.753546643738869,0.11289102617208,NA,NA,NA,NA,0.351265525859806,NA,NA,NA,NA,0.692482792951542,2
0.05,32663,0.6,32,aldknni_fixed,2,0.0122583786646525,0.964761350763861,0.134042467853516,0.21321275301711,0.0918715465650544,0.114289794364052,0.241756052312351,-0.16755040341422,0.774022594567149,0.134042467853516,0.21321275301711,0.0918715465650544,0.114289794364052,0.241756052312351,-0.16755040341422,0.774022594567149,0.0605297025464902,NA,NA,NA,NA,0.355943315697125,NA,NA,NA,NA,0.623590497797357,2
0.05,32663,0.6,32,aldknni_optim,2,0.29955933491389,0.964761350763861,0.12267706841838,0.214267441008998,0.0828649454990891,0.111179867986799,0.237918936105137,-0.130782153978615,0.779671236354405,0.12267706841838,0.214267441008998,0.0828649454990891,0.111179867986799,0.237918936105137,-0.130782153978615,0.779671236354405,0.044716273454515,NA,NA,NA,NA,0.359905130381968,NA,NA,NA,NA,0.579810237885463,2
0.05,32663,0.6,32,linkimpute,2,0.0274920105934143,0.997030278908857,0.11671682122459,0.245483679067613,-0.203832806413019,0.11671682122459,0.245483679067613,-0.203832806413019,0.770374009703372,0.11671682122459,0.245483679067613,-0.203832806413019,0.11671682122459,0.245483679067613,-0.203832806413019,0.770374009703372,0.023259576877958,NA,NA,NA,NA,0.403386715673405,NA,NA,NA,NA,0.674008810572687,2
0.05,32663,0.6,32,mvi,2,0.00290118455886841,0.997091510271561,0.173258731484893,0.216572320258434,0.0586903106332185,0.122958118398428,0.250199502809442,-0.256317805608361,0.7563252272169,0.173258731484893,0.216572320258434,0.0586903106332185,0.122958118398428,0.250199502809442,-0.256317805608361,0.7563252272169,0.115693889950032,NA,NA,NA,NA,0.347360266028199,NA,NA,NA,NA,0.684514162393162,3
0.05,32663,0.6,32,aldknni_fixed,2,0.0159695545832316,0.964547040994397,0.134150346040311,0.213385061688158,0.086192631058905,0.115045230915728,0.242372943430879,-0.178948690590496,0.772353594667513,0.134150346040311,0.213385061688158,0.086192631058905,0.115045230915728,0.242372943430879,-0.178948690590496,0.772353594667513,0.0625261699578341,NA,NA,NA,NA,0.352404321125991,NA,NA,NA,NA,0.640267012820513,3
0.05,32663,0.6,32,aldknni_optim,2,0.302429421742757,0.964547040994397,0.122614116235518,0.213064567500188,0.088935559828183,0.110553880336455,0.237361040295677,-0.130695083505677,0.781018885891128,0.122614116235518,0.213064567500188,0.088935559828183,0.110553880336455,0.237361040295677,-0.130695083505677,0.781018885891128,0.0477166602095771,NA,NA,NA,NA,0.352380300491938,NA,NA,NA,NA,0.603767226495726,3
0.05,32663,0.6,32,linkimpute,2,0.029071569442749,0.997091510271561,0.115143699336772,0.244536216517916,-0.20008776280676,0.115143699336772,0.244536216517916,-0.20008776280676,0.774164824367477,0.115143699336772,0.244536216517916,-0.20008776280676,0.115143699336772,0.244536216517916,-0.20008776280676,0.774164824367477,0.023573500967118,NA,NA,NA,NA,0.398443735035914,NA,NA,NA,NA,0.724358974358974,3
