maf,n_missing,missing_rate,n_threads,algorithm,ploidy,duration_mins,frac_imputed,mae_frequencies,rmse_frequencies,r2_frequencies,mae_classes,rmse_classes,r2_classes,concordance_classes,highConf_mae_frequencies,highConf_rmse_frequencies,highConf_r2_frequencies,highConf_mae_classes,highConf_rmse_classes,highConf_r2_classes,highConf_concordance_classes,mae_0,mae_0.1,mae_0.2,mae_0.3,mae_0.4,mae_0.5,mae_0.6,mae_0.7,mae_0.8,mae_0.9,mae_1,rep
0.05,38107,0.7,32,mvi,2,0.00519193410873413,0.991156480436665,0.173660034710087,0.217699105212391,0.0474601838533347,0.124490336245698,0.25186621426097,-0.274998515474406,0.753402171035213,0.173660034710087,0.217699105212391,0.0474601838533347,0.124490336245698,0.25186621426097,-0.274998515474406,0.753402171035213,0.115645886916571,NA,NA,NA,NA,0.348016431419458,NA,NA,NA,NA,0.695897697318008,1
0.05,38107,0.7,32,aldknni_fixed,2,0.0103009621302287,0.919594825097751,0.138459945495534,0.223410239043694,-0.00317337404258566,0.12257797562994,0.250602105745208,-0.262232278774861,0.757868903918044,0.138459945495534,0.223410239043694,-0.00317337404258566,0.12257797562994,0.250602105745208,-0.262232278774861,0.757868903918044,0.0636835641710224,NA,NA,NA,NA,0.365231318925519,NA,NA,NA,NA,0.643347484615385,1
0.05,38107,0.7,32,aldknni_optim,2,0.303148317337036,0.919594825097751,0.131409585880204,0.221061419158649,0.0178094354952877,0.118154838341466,0.246063085824125,-0.216922111775786,0.766629569386183,0.131409585880204,0.221061419158649,0.0178094354952877,0.118154838341466,0.246063085824125,-0.216922111775786,0.766629569386183,0.0538588769977062,NA,NA,NA,NA,0.366976065811966,NA,NA,NA,NA,0.643011626923077,1
0.05,38107,0.7,32,linkimpute,2,0.0362454017003377,0.991156480436665,0.122716441620334,0.252993724682294,-0.28643944539206,0.122716441620334,0.252993724682294,-0.28643944539206,0.75986232459624,0.122716441620334,0.252993724682294,-0.28643944539206,0.122716441620334,0.252993724682294,-0.28643944539206,0.75986232459624,0.0231979395078487,NA,NA,NA,NA,0.428457507404876,NA,NA,NA,NA,0.795019157088123,1
0.05,38107,0.7,32,mvi,2,0.00309019883473714,0.989214579998425,0.173020411635187,0.218030801830021,0.0448026885630392,0.126445776740238,0.253595222602862,-0.292229118472457,0.749283743633277,0.173020411635187,0.218030801830021,0.0448026885630392,0.126445776740238,0.253595222602862,-0.292229118472457,0.749283743633277,0.114791665829671,NA,NA,NA,NA,0.348125509989725,NA,NA,NA,NA,0.689771365019011,2
0.05,38107,0.7,32,aldknni_fixed,2,0.00984441041946411,0.919673550791193,0.137771943417223,0.223713484118863,-0.0056380810041039,0.121611596187867,0.249435818343045,-0.250187124559883,0.759601666381327,0.137771943417223,0.223713484118863,-0.0056380810041039,0.121611596187867,0.249435818343045,-0.250187124559883,0.759601666381327,0.0630990295179364,NA,NA,NA,NA,0.36326057997558,NA,NA,NA,NA,0.668686213740458,2
0.05,38107,0.7,32,aldknni_optim,2,0.302034044265747,0.919673550791193,0.132618148176682,0.222308915943361,0.00694992327356014,0.118686868686869,0.246573852247605,-0.221663020250388,0.765536723163842,0.132618148176682,0.222308915943361,0.00694992327356014,0.118686868686869,0.246573852247605,-0.221663020250388,0.765536723163842,0.0559216698127397,NA,NA,NA,NA,0.365419628327228,NA,NA,NA,NA,0.64033579389313,2
0.05,38107,0.7,32,linkimpute,2,0.0386507352193197,0.989214579998425,0.120052525466893,0.250251889232661,-0.258380897776159,0.120052525466893,0.250251889232661,-0.258380897776159,0.765094439728353,0.120052525466893,0.250251889232661,-0.258380897776159,0.120052525466893,0.250251889232661,-0.258380897776159,0.765094439728353,0.0182220827230243,NA,NA,NA,NA,0.432583628268067,NA,NA,NA,NA,0.813688212927757,2
0.05,38107,0.7,32,mvi,2,0.00332098801930745,0.984596005983153,0.173928485687633,0.218802335581505,0.0414843646329924,0.125919509594883,0.25345428087659,-0.2861586896933,0.750719616204691,0.173928485687633,0.218802335581505,0.0414843646329924,0.125919509594883,0.25345428087659,-0.2861586896933,0.750719616204691,0.114660387810273,NA,NA,NA,NA,0.350858112314709,NA,NA,NA,NA,0.685016149812734,3
0.05,38107,0.7,32,aldknni_fixed,2,0.0100853045781453,0.919857244075892,0.137191266082789,0.22446428840247,-0.00876453695632717,0.121858328816364,0.250024960953999,-0.251589844915447,0.759449975751006,0.137191266082789,0.22446428840247,-0.00876453695632717,0.121858328816364,0.250024960953999,-0.251589844915447,0.759449975751006,0.0605480056951045,NA,NA,NA,NA,0.366782719086184,NA,NA,NA,NA,0.636098466165414,3
0.05,38107,0.7,32,aldknni_optim,2,0.295882280667623,0.919857244075892,0.133272134425014,0.223847474993653,-0.00322811432439174,0.120374860924885,0.248192622336393,-0.233312206564143,0.762074572789776,0.133272134425014,0.223847474993653,-0.00322811432439174,0.120374860924885,0.248192622336393,-0.233312206564143,0.762074572789776,0.0545458128158709,NA,NA,NA,NA,0.369642542124985,NA,NA,NA,NA,0.62897630075188,3
0.05,38107,0.7,32,linkimpute,2,0.0349519451459249,0.984596005983153,0.120215884861407,0.250306315539874,-0.254408272916305,0.120215884861407,0.250306315539874,-0.254408272916305,0.764658848614073,0.120215884861407,0.250306315539874,-0.254408272916305,0.120215884861407,0.250306315539874,-0.254408272916305,0.764658848614073,0.0166590597900502,NA,NA,NA,NA,0.436602052451539,NA,NA,NA,NA,0.775280898876405,3
