maf,n_missing,missing_rate,n_threads,algorithm,ploidy,duration_mins,frac_imputed,mae_frequencies,rmse_frequencies,r2_frequencies,mae_classes,rmse_classes,r2_classes,concordance_classes,highConf_mae_frequencies,highConf_rmse_frequencies,highConf_r2_frequencies,highConf_mae_classes,highConf_rmse_classes,highConf_r2_classes,highConf_concordance_classes,mae_0,mae_0.1,mae_0.2,mae_0.3,mae_0.4,mae_0.5,mae_0.6,mae_0.7,mae_0.8,mae_0.9,mae_1,rep
0.01,1151,0.01,32,mvi,2,0.00633248885472616,0.996524761077324,0.101679168265039,0.160701158668538,0.142976577724427,0.0653879686137751,0.183209781093708,-0.113914832058271,0.870967741935484,0.101679168265039,0.160701158668538,0.142976577724427,0.0653879686137751,0.183209781093708,-0.113914832058271,0.870967741935484,0.0635064023785927,NA,NA,NA,NA,0.367688992481203,NA,NA,NA,NA,0.729082,1
0.01,1151,0.01,32,aldknni_fixed,2,0.0194220264752706,0.954821894005213,0.0541002593266606,0.128857156668374,0.448974416315588,0.0395814376706096,0.140679489746391,0.343225558203663,0.920837124658781,0.0541002593266606,0.128857156668374,0.448974416315588,0.0395814376706096,0.140679489746391,0.343225558203663,0.920837124658781,0.0218187675619835,NA,NA,NA,NA,0.288821531746032,NA,NA,NA,NA,0.388821,1
0.01,1151,0.01,32,aldknni_optim,2,0.312939417362213,0.954821894005213,0.0495358607825296,0.131029491585445,0.430238910346681,0.0427661510464058,0.146229530270746,0.29038163759936,0.914467697907188,0.0495358607825296,0.131029491585445,0.430238910346681,0.0427661510464058,0.146229530270746,0.29038163759936,0.914467697907188,0.0165467355371901,NA,NA,NA,NA,0.288046761904762,NA,NA,NA,NA,0.4257558,1
0.01,1151,0.01,32,linkimpute,2,0.0346661845842997,0.996524761077324,0.039232781168265,0.141606180567414,0.334544386043111,0.039232781168265,0.141606180567414,0.334544386043111,0.922406277244987,0.039232781168265,0.141606180567414,0.334544386043111,0.039232781168265,0.141606180567414,0.334544386043111,0.922406277244987,0.0133795837462834,NA,NA,NA,NA,0.225563909774436,NA,NA,NA,NA,0.3,1
0.01,1151,0.01,32,mvi,2,0.00411762793858846,1,0.0997556950477845,0.157608636226362,0.154311596838067,0.0603822762814944,0.176238326908241,-0.0574286558649311,0.880973066898349,0.0997556950477845,0.157608636226362,0.154311596838067,0.0603822762814944,0.176238326908241,-0.0574286558649311,0.880973066898349,0.0617531026653504,NA,NA,NA,NA,0.366887744360902,NA,NA,NA,NA,0.6933684,2
0.01,1151,0.01,32,aldknni_fixed,2,0.0180580417315165,0.958297132927889,0.0564707796917498,0.134117074068577,0.387623532395513,0.0462375339981868,0.152048567895569,0.212926988341683,0.907524932003626,0.0564707796917498,0.134117074068577,0.387623532395513,0.0462375339981868,0.152048567895569,0.212926988341683,0.907524932003626,0.024428333676622,NA,NA,NA,NA,0.294544094488189,NA,NA,NA,NA,0.2320516,2
0.01,1151,0.01,32,aldknni_optim,2,0.292262200514475,0.958297132927889,0.0486387144152312,0.128952010337285,0.4338824909167,0.042611060743427,0.145964140704878,0.274658204942335,0.914777878513146,0.0486387144152312,0.128952010337285,0.4338824909167,0.042611060743427,0.145964140704878,0.274658204942335,0.914777878513146,0.0175242636457261,NA,NA,NA,NA,0.281870173228346,NA,NA,NA,NA,0.166986,2
0.01,1151,0.01,32,linkimpute,2,0.0328900257746379,1,0.0443092962641182,0.148844375547278,0.245750189522916,0.0443092962641182,0.148844375547278,0.245750189522916,0.911381407471764,0.0443092962641182,0.148844375547278,0.245750189522916,0.0443092962641182,0.148844375547278,0.245750189522916,0.911381407471764,0.0153010858835143,NA,NA,NA,NA,0.263157894736842,NA,NA,NA,NA,0.1,2
0.01,1151,0.01,32,mvi,2,0.00411006609598796,1,0.106766801042572,0.168383246666665,0.112209461262237,0.0712423979148566,0.191023581497409,-0.142580271570215,0.859252823631625,0.106766801042572,0.168383246666665,0.112209461262237,0.0712423979148566,0.191023581497409,-0.142580271570215,0.859252823631625,0.063644260782347,NA,NA,NA,NA,0.375411496644295,NA,NA,NA,NA,0.6997894,3
0.01,1151,0.01,32,aldknni_fixed,2,0.018765652179718,0.960903562119896,0.0629372667269439,0.145178882034924,0.340036906234855,0.0515370705244123,0.161927807458169,0.178976429760996,0.897830018083183,0.0629372667269439,0.145178882034924,0.340036906234855,0.0515370705244123,0.161927807458169,0.178976429760996,0.897830018083183,0.0241259958289885,NA,NA,NA,NA,0.31235685915493,NA,NA,NA,NA,0.4234226,3
0.01,1151,0.01,32,aldknni_optim,2,0.279143257935842,0.960903562119896,0.0581775976491863,0.145673472539055,0.335532566781862,0.0510849909584087,0.161228332017695,0.186054219159608,0.89873417721519,0.0581775976491863,0.145673472539055,0.335532566781862,0.0510849909584087,0.161228332017695,0.186054219159608,0.89873417721519,0.0187970729927007,NA,NA,NA,NA,0.312706978873239,NA,NA,NA,NA,0.3827278,3
0.01,1151,0.01,32,linkimpute,2,0.0280282100041707,1,0.0464813205907906,0.153867037278066,0.258683038088373,0.0464813205907906,0.153867037278066,0.258683038088373,0.907906168549088,0.0464813205907906,0.153867037278066,0.258683038088373,0.0464813205907906,0.153867037278066,0.258683038088373,0.907906168549088,0.00902708124373119,NA,NA,NA,NA,0.285234899328859,NA,NA,NA,NA,0.4,3
