maf,n_missing,missing_rate,n_threads,algorithm,ploidy,duration_mins,frac_imputed,mae_frequencies,rmse_frequencies,r2_frequencies,mae_classes,rmse_classes,r2_classes,concordance_classes,highConf_mae_frequencies,highConf_rmse_frequencies,highConf_r2_frequencies,highConf_mae_classes,highConf_rmse_classes,highConf_r2_classes,highConf_concordance_classes,mae_0,mae_0.1,mae_0.2,mae_0.3,mae_0.4,mae_0.5,mae_0.6,mae_0.7,mae_0.8,mae_0.9,mae_1,rep
0.05,2516704,0.4,32,mvi,84,0.169231780370076,1,0.23760400687687,0.297482269593286,0.423366426266798,0.237479878254975,0.297418549282192,0.423193397763159,0.00969164430938243,0.23760400687687,0.297482269593286,0.423366426266798,0.237479878254975,0.297418549282192,0.423193397763159,0.00969164430938243,0.280212807541059,0.310563283270455,0.30063747123941,0.260032249929338,0.219957252835832,0.189498593455391,0.176779796531187,0.183544242866986,0.203188164302738,0.234002482688756,0.212928546555539,1
0.05,2516704,0.4,32,aldknni_fixed,84,23.2286450425784,0.968615300011444,0.094760659773075,0.169673730277852,0.812411172708526,0.0945724063008343,0.16968097118809,0.812258448146689,0.0736131086532569,0.094760659773075,0.169673730277852,0.812411172708526,0.0945724063008343,0.16968097118809,0.812258448146689,0.0736131086532569,0.077684098398149,0.0950056527267218,0.127830213216878,0.139375028148324,0.142997271230629,0.141464588188475,0.137487164937063,0.129499599332107,0.117780521645126,0.101954419916894,0.0607816424329158,1
0.05,2516704,0.4,32,aldknni_optim,84,403.85400210619,0.968615300011444,0.0936352366332257,0.170467720819427,0.810651415950678,0.0935118857648248,0.170482779311622,0.810479953328788,0.174605512204447,0.0936352366332257,0.170467720819427,0.810651415950678,0.0935118857648248,0.170482779311622,0.810479953328788,0.174605512204447,0.0654696477215701,0.0977894741231112,0.13107805253757,0.142114951322553,0.144739140844701,0.142556826825035,0.138299352136928,0.130239402801379,0.118836496936062,0.105224589047105,0.0573371270447837,1
0.05,2516704,0.4,32,linkimpute,2,1.86317462921143,1,0.279340225097563,0.3409459060069,0.242559169518143,0.298048360077307,0.390312693030456,0.197197432088021,0.410542916449451,0.279340225097563,0.3409459060069,0.242559169518143,0.298048360077307,0.390312693030456,0.197197432088021,0.410542916449451,0.222134405976645,0.433416862784544,0.354499537607501,0.255251893691763,0.154974155042838,0.0541043292544119,0.0578247045586903,0.155957695154475,0.255183109825868,0.353367490740808,0.296257367707691,1
0.05,2516704,0.4,32,mvi,84,0.172847926616669,1,0.237577755009584,0.297491009856929,0.423571485275573,0.237465053498544,0.29743103671776,0.423386460189129,0.00961614874057497,0.237577755009584,0.297491009856929,0.423571485275573,0.237465053498544,0.29743103671776,0.423386460189129,0.00961614874057497,0.280113770606542,0.310021664176709,0.300897192934417,0.259804216224514,0.220150800338172,0.189317835447504,0.177318249210373,0.183345688183305,0.204359811016594,0.234381111731228,0.212691660943842,2
0.05,2516704,0.4,32,aldknni_fixed,84,23.2234339912732,0.96868324602337,0.0946422180938604,0.169689456670805,0.812454139595175,0.0944561833931694,0.169697452917952,0.812300587203864,0.0737408471017343,0.0946422180938604,0.169689456670805,0.812454139595175,0.0944561833931694,0.169697452917952,0.812300587203864,0.0737408471017343,0.077211173666112,0.094387629668438,0.127459913777589,0.139414225807724,0.142117341233842,0.141551781587382,0.138431418255048,0.12962922501263,0.118563997454601,0.102425751373292,0.0606185986852283,2
0.05,2516704,0.4,32,aldknni_optim,84,400.909760137399,0.96868324602337,0.0934629390429919,0.17026651306004,0.811176410776285,0.0933342037194592,0.170275321560933,0.81102006965471,0.174502202520295,0.0934629390429919,0.17026651306004,0.811176410776285,0.0933342037194592,0.170275321560933,0.81102006965471,0.174502202520295,0.0652987656705491,0.0972174857338012,0.130664320402264,0.142227106321453,0.143448643130491,0.142395220884199,0.139074796962941,0.130419460329862,0.119622096008595,0.105205734064225,0.0571313847139362,2
0.05,2516704,0.4,32,linkimpute,2,1.70943488279978,1,0.279605785028781,0.341009538455398,0.242590377556239,0.298471532607728,0.390446030529984,0.197002528678357,0.409481607690058,0.279605785028781,0.341009538455398,0.242590377556239,0.298471532607728,0.390446030529984,0.197002528678357,0.409481607690058,0.22015556307068,0.432877994465494,0.354102580176447,0.255060992398078,0.154835686114648,0.0541610379428431,0.0576913142731231,0.155940503174243,0.255280550203009,0.353704071296824,0.297553386175111,2
0.05,2516704,0.4,32,mvi,84,0.169439935684204,1,0.23755245746284,0.297317663300535,0.424113096149639,0.237443204248399,0.297260756091434,0.423915174675582,0.00964316820730606,0.23755245746284,0.297317663300535,0.424113096149639,0.237443204248399,0.297260756091434,0.423915174675582,0.00964316820730606,0.279588667347516,0.310263947924289,0.299882298588341,0.260088750070115,0.219494211327339,0.18904264770687,0.176682194484579,0.183720726237614,0.202982841608617,0.234258846461834,0.213291841136341,3
0.05,2516704,0.4,32,aldknni_fixed,84,23.1798879981041,0.968627220364413,0.0946342892844274,0.169569847316094,0.812676165635998,0.0944458779168314,0.169577039661375,0.81252412973458,0.0736626591427826,0.0946342892844274,0.169569847316094,0.812676165635998,0.0944458779168314,0.169577039661375,0.81252412973458,0.0736626591427826,0.0772466972330472,0.0948270869624185,0.127182640845323,0.139796331043965,0.141339693898082,0.141635985904645,0.137643797582984,0.130227751122845,0.118445737206342,0.101977565595638,0.0607129017005833,3
0.05,2516704,0.4,32,aldknni_optim,84,402.919861841202,0.968627220364413,0.0935006459806762,0.170314550147182,0.811027206041232,0.093382044763094,0.170330754987076,0.810853886392274,0.175387283673292,0.0935006459806762,0.170314550147182,0.811027206041232,0.093382044763094,0.170330754987076,0.810853886392274,0.175387283673292,0.0652524552644894,0.0973943047272371,0.130284679957563,0.142615751317911,0.143193800748104,0.142690044086058,0.138678305796108,0.131124076843789,0.119479475365343,0.104806850995591,0.057343471463688,3
0.05,2516704,0.4,32,linkimpute,2,1.88966649770737,1,0.279963033840535,0.340860863711381,0.243079860283542,0.298735965771104,0.39024562537445,0.197561041355674,0.408375398934479,0.279963033840535,0.340860863711381,0.243079860283542,0.298735965771104,0.39024562537445,0.197561041355674,0.408375398934479,0.224665142250313,0.433903639419569,0.354022329347637,0.255187956651123,0.154951744466898,0.053996923255831,0.0573987309756943,0.155553318735759,0.254918355613782,0.35335736686943,0.297361745286269,3
