maf,n_missing,missing_rate,n_threads,algorithm,ploidy,duration_mins,frac_imputed,mae_frequencies,rmse_frequencies,r2_frequencies,mae_classes,rmse_classes,r2_classes,concordance_classes,highConf_mae_frequencies,highConf_rmse_frequencies,highConf_r2_frequencies,highConf_mae_classes,highConf_rmse_classes,highConf_r2_classes,highConf_concordance_classes,mae_0,mae_0.1,mae_0.2,mae_0.3,mae_0.4,mae_0.5,mae_0.6,mae_0.7,mae_0.8,mae_0.9,mae_1,rep
0.05,27219,0.5,32,mvi,2,0.00552477836608887,1,0.172481596605312,0.21576389209032,0.0654233105111016,0.123975899188067,0.25121403303307,-0.2669083569932,0.754289283221279,0.172481596605312,0.21576389209032,0.0654233105111016,0.123975899188067,0.25121403303307,-0.2669083569932,0.754289283221279,0.114130181082253,NA,NA,NA,NA,0.349254268261563,NA,NA,NA,NA,0.695962591836735,1
0.05,27219,0.5,32,aldknni_fixed,2,0.0113449811935425,0.964363128696866,0.125396359366071,0.206284069219744,0.145742522458636,0.107908872718961,0.234322115034887,-0.102259794871883,0.786087089031963,0.125396359366071,0.206284069219744,0.145742522458636,0.107908872718961,0.234322115034887,-0.102259794871883,0.786087089031963,0.0538197256158622,NA,NA,NA,NA,0.345536280545963,NA,NA,NA,NA,0.588955892857143,1
0.05,27219,0.5,32,aldknni_optim,2,0.248608620961507,0.964363128696866,0.115065125109528,0.205825785886604,0.149533964947275,0.104384928949674,0.230366421882583,-0.0653584695622083,0.792982589812945,0.115065125109528,0.205825785886604,0.149533964947275,0.104384928949674,0.230366421882583,-0.0653584695622083,0.792982589812945,0.0422927012317244,NA,NA,NA,NA,0.340052957408321,NA,NA,NA,NA,0.550064316326531,1
0.05,27219,0.5,32,linkimpute,2,0.057936950524648,1,0.110511040082295,0.238671082289295,-0.143554887217556,0.110511040082295,0.238671082289295,-0.143554887217556,0.7823946507954,0.110511040082295,0.238671082289295,-0.143554887217556,0.110511040082295,0.238671082289295,-0.143554887217556,0.7823946507954,0.0294656194285164,NA,NA,NA,NA,0.363875598086124,NA,NA,NA,NA,0.586734693877551,1
0.05,27219,0.5,32,mvi,2,0.00323090553283691,0.998567177339359,0.172370153789551,0.216004170274825,0.0671866109732264,0.122498160412068,0.25,-0.249541016609276,0.757505518763797,0.172370153789551,0.216004170274825,0.0671866109732264,0.122498160412068,0.25,-0.249541016609276,0.757505518763797,0.113651727325469,NA,NA,NA,NA,0.348729991585966,NA,NA,NA,NA,0.698468197969543,2
0.05,27219,0.5,32,aldknni_fixed,2,0.0126412590344747,0.965906168485249,0.12674003001027,0.207182844694678,0.141820605102704,0.107660416111977,0.234621726632554,-0.100542839017321,0.787113460880149,0.12674003001027,0.207182844694678,0.141820605102704,0.107660416111977,0.234621726632554,-0.100542839017321,0.787113460880149,0.0567222258387581,NA,NA,NA,NA,0.340330450522534,NA,NA,NA,NA,0.58474923857868,2
0.05,27219,0.5,32,aldknni_optim,2,0.248150746027629,0.965906168485249,0.115852103457457,0.205937525184353,0.152106164129286,0.104142101859952,0.230347525499013,-0.0608099916594664,0.79369365942718,0.115852103457457,0.205937525184353,0.152106164129286,0.104142101859952,0.230347525499013,-0.0608099916594664,0.79369365942718,0.0449408769654482,NA,NA,NA,NA,0.333107166394513,NA,NA,NA,NA,0.550507878172589,2
0.05,27219,0.5,32,linkimpute,2,0.0631277561187744,0.998567177339359,0.107836644591611,0.236053211097546,-0.114013168303016,0.107836644591611,0.236053211097546,-0.114013168303016,0.787932303164091,0.107836644591611,0.236053211097546,-0.114013168303016,0.107836644591611,0.236053211097546,-0.114013168303016,0.787932303164091,0.0259379230322955,NA,NA,NA,NA,0.360930306397841,NA,NA,NA,NA,0.614213197969543,2
0.05,27219,0.5,32,mvi,2,0.00321371157964071,1,0.172226940446012,0.214529350149524,0.0700686956711963,0.121771556633234,0.249084439814904,-0.253633617467208,0.758771446416106,0.172226940446012,0.214529350149524,0.0700686956711963,0.121771556633234,0.249084439814904,-0.253633617467208,0.758771446416106,0.11462015180074,NA,NA,NA,NA,0.348654602632001,NA,NA,NA,NA,0.689125476439791,3
0.05,27219,0.5,32,aldknni_fixed,2,0.0127512137095133,0.964363128696866,0.125581526115281,0.204837112814994,0.152197437576524,0.106823117071127,0.233160836699703,-0.0984711203568507,0.788258600327632,0.125581526115281,0.204837112814994,0.152197437576524,0.106823117071127,0.233160836699703,-0.0984711203568507,0.788258600327632,0.0569834028166201,NA,NA,NA,NA,0.338811650149155,NA,NA,NA,NA,0.580965047120419,3
0.05,27219,0.5,32,aldknni_optim,2,0.262912849585215,0.964363128696866,0.114935098060879,0.203780712698879,0.160919580158144,0.103242028267744,0.229330503233898,-0.062676511319294,0.795458874623795,0.114935098060879,0.203780712698879,0.160919580158144,0.103242028267744,0.229330503233898,-0.062676511319294,0.795458874623795,0.0454723512784658,NA,NA,NA,NA,0.331861186774942,NA,NA,NA,NA,0.544202230366492,3
0.05,27219,0.5,32,linkimpute,2,0.0461309472719828,1,0.105349204599728,0.232846821082546,-0.095514321822195,0.105349204599728,0.232846821082546,-0.095514321822195,0.79238767037731,0.105349204599728,0.232846821082546,-0.095514321822195,0.105349204599728,0.232846821082546,-0.095514321822195,0.79238767037731,0.0215415684954561,NA,NA,NA,NA,0.370325790402825,NA,NA,NA,NA,0.586387434554974,3
