maf,n_missing,missing_rate,n_threads,algorithm,ploidy,duration_mins,frac_imputed,mae_frequencies,rmse_frequencies,r2_frequencies,mae_classes,rmse_classes,r2_classes,concordance_classes,highConf_mae_frequencies,highConf_rmse_frequencies,highConf_r2_frequencies,highConf_mae_classes,highConf_rmse_classes,highConf_r2_classes,highConf_concordance_classes,mae_0,mae_0.1,mae_0.2,mae_0.3,mae_0.4,mae_0.5,mae_0.6,mae_0.7,mae_0.8,mae_0.9,mae_1,rep
0.05,3145880,0.5,32,mvi,84,0.175959527492523,1,0.23765881008778,0.297652200230556,0.422854537015137,0.237534504691548,0.297590236964131,0.422671544923604,0.00962242679313896,0.23765881008778,0.297652200230556,0.422854537015137,0.237534504691548,0.297590236964131,0.422671544923604,0.00962242679313896,0.27981094978293,0.310317013943643,0.300684781414506,0.260095860841693,0.220525972009757,0.189675176922187,0.177100326630946,0.183894051612801,0.203716794264134,0.234233479812666,0.212906431867297,1
0.05,3145880,0.5,32,aldknni_fixed,84,24.4231894135475,0.96864025328366,0.110232011602486,0.190579588385015,0.763397210352559,0.110053255930851,0.190577393687239,0.763229074648687,0.0652061908109211,0.110232011602486,0.190579588385015,0.763397210352559,0.110053255930851,0.190577393687239,0.763229074648687,0.0652061908109211,0.0932968311724735,0.114457507908991,0.150556144695387,0.161925208414754,0.16473242093256,0.162661636167714,0.157458259464114,0.147996504481589,0.134840181970321,0.116290119912261,0.0701805339259449,1
0.05,3145880,0.5,32,aldknni_optim,84,386.105312351386,0.96864025328366,0.107363258838578,0.189521471688389,0.766017200992835,0.107234384572035,0.189528939561276,0.765827080613046,0.159016101857886,0.107363258838578,0.189521471688389,0.766017200992835,0.107234384572035,0.189528939561276,0.765827080613046,0.159016101857886,0.0772280177117134,0.113796967058164,0.151877729066495,0.163145506051127,0.165002302599336,0.16323530108537,0.157957016806779,0.14865626933571,0.136876143685917,0.119922617389748,0.0646773483917488,1
0.05,3145880,0.5,32,linkimpute,2,1.95687949260076,1,0.285279309695067,0.34717891773723,0.214811768737826,0.303838989408369,0.395767216558025,0.174814677210849,0.401746411179066,0.285279309695067,0.34717891773723,0.214811768737826,0.303838989408369,0.395767216558025,0.174814677210849,0.401746411179066,0.239872360239941,0.431596493892916,0.354428110725934,0.255811116890336,0.155947674454854,0.0553892767483839,0.0590233476781105,0.157079618473179,0.256151828661568,0.354256817771633,0.307898932261072,1
0.05,3145880,0.5,32,mvi,84,0.174532147248586,1,0.237821890009116,0.297797211444534,0.422496770701451,0.23769341624147,0.297730993494874,0.422329834949284,0.00970380306941142,0.237821890009116,0.297797211444534,0.422496770701451,0.23769341624147,0.297730993494874,0.422329834949284,0.00970380306941142,0.280134384338363,0.310186565892037,0.301270659918299,0.260134752019157,0.219725965585384,0.189484564890603,0.177777387806091,0.184222856950224,0.204239452635639,0.234219622419343,0.213121401922578,2
0.05,3145880,0.5,32,aldknni_fixed,84,24.5796146114667,0.968584624969802,0.110360264498136,0.190714117701625,0.763147021879012,0.110181993921961,0.190711142977981,0.762980551728347,0.0649434485999742,0.110360264498136,0.190714117701625,0.763147021879012,0.110181993921961,0.190711142977981,0.762980551728347,0.0649434485999742,0.0930746405042917,0.114572571441233,0.150699258769,0.161857651172964,0.16421367207363,0.16250229199233,0.157828382230762,0.148475579577325,0.134993035721531,0.116000473871902,0.0706171448622477,2
0.05,3145880,0.5,32,aldknni_optim,84,391.859593204657,0.968584624969802,0.107514358804472,0.18971077296508,0.765632627743048,0.10738557816503,0.189716172475192,0.765447237014147,0.158378051433993,0.107514358804472,0.18971077296508,0.765632627743048,0.10738557816503,0.189716172475192,0.765447237014147,0.158378051433993,0.0772501769665212,0.11368841876703,0.152313218157969,0.16334566476564,0.164879632749618,0.162928970500871,0.157938676855681,0.149170275033055,0.136943326444449,0.119713378377167,0.0651115717620507,2
0.05,3145880,0.5,32,linkimpute,2,1.96112024386724,1,0.285761889788238,0.347162546684571,0.215164037824978,0.304413550421504,0.395747839136571,0.175150528003409,0.39999205309802,0.285761889788238,0.347162546684571,0.215164037824978,0.304413550421504,0.395747839136571,0.175150528003409,0.39999205309802,0.245225652881708,0.433797371801933,0.354525304732452,0.255746800625267,0.155862567675133,0.0550172279075725,0.0583287127044104,0.156669212532201,0.255446341433988,0.353686323433796,0.307397394017713,2
0.05,3145880,0.5,32,mvi,84,0.17404838403066,1,0.237738273061593,0.297682737678152,0.4228000686235,0.237612092944544,0.297622006046739,0.422612743799693,0.00970761758236169,0.237738273061593,0.297682737678152,0.4228000686235,0.237612092944544,0.297622006046739,0.422612743799693,0.00970761758236169,0.279877050456958,0.310348867897262,0.301397976087722,0.260908616094454,0.220313690222619,0.190282472314292,0.177542946612687,0.183764256005853,0.203847928982089,0.23360493954264,0.212896094831826,3
0.05,3145880,0.5,32,aldknni_fixed,84,24.8095263044039,0.968673630271975,0.110491878272386,0.190968941915621,0.762455788296086,0.110307910196075,0.190970943139431,0.762276727153754,0.0650421631256992,0.110491878272386,0.190968941915621,0.762455788296086,0.110307910196075,0.190970943139431,0.762276727153754,0.0650421631256992,0.0933673921123146,0.114250092833686,0.150792425394216,0.16293075998309,0.165550267450686,0.162842336297713,0.158018896113589,0.148105499230589,0.13522253076685,0.115942394104068,0.0705594377115555,3
