maf,n_missing,missing_rate,n_threads,algorithm,ploidy,duration_mins,frac_imputed,mae_frequencies,rmse_frequencies,r2_frequencies,mae_classes,rmse_classes,r2_classes,concordance_classes,highConf_mae_frequencies,highConf_rmse_frequencies,highConf_r2_frequencies,highConf_mae_classes,highConf_rmse_classes,highConf_r2_classes,highConf_concordance_classes,mae_0,mae_0.1,mae_0.2,mae_0.3,mae_0.4,mae_0.5,mae_0.6,mae_0.7,mae_0.8,mae_0.9,mae_1,rep
0.01,1710693,0.1,32,mvi,4,0.420793922742208,1,0.0458716102570007,0.0663888773522758,0.716965441061209,0.0330484487865444,0.0931268937967795,0.543182715029169,0.870820188075827,0.0447697902619461,0.0641959845504825,0.735354480889585,0.0319579510340503,0.0911318680464991,0.562545550152653,0.874495714667553,0.082104771742867,0.10860067850998,0.121676364514808,0.126547649602525,0.143425935474153,0.156710620979471,0.14991980927609,0.140357000390548,0.113060566786631,0.0685514213222702,0.0326739914141721,1
0.01,1710693,0.1,32,aldknni_fixed,4,131.351670829455,0.968674098742439,0.0435817118222902,0.063050127205679,0.744717672063585,0.0313524377468161,0.0900059341868095,0.573288270416969,0.876657711284265,0.0427343992856904,0.0612303019505792,0.759241505156064,0.03052165210253,0.0884426215863523,0.587982646779413,0.879435258430401,0.0724076208125446,0.0614969706350328,0.0916533412924973,0.107223294965382,0.12741860584175,0.143177354938683,0.141078282866002,0.136250348704714,0.112433512004055,0.0691212347460584,0.0302789317622376,1
0.01,1710693,0.1,32,aldknni_optim,4,1310.75967986186,0.968674098742439,0.0412474453702326,0.0658764401947417,0.721317907287186,0.0313067254680455,0.09024718942945,0.57099765672535,0.877236431750813,0.0406586444302627,0.0641454284186404,0.735771148240428,0.0305719510913268,0.0887896431125134,0.58474304599306,0.879595828279252,0.0570226126158232,0.0574376028779625,0.0932503840551498,0.109217886113729,0.130475938847772,0.148118988110382,0.147230059447496,0.143415626197679,0.120976131988789,0.078025464367283,0.0249323837709146,1
0.01,1710693,0.1,32,linkimpute,2,11.5990751584371,1,0.209826918513713,0.29398784496327,-4.55018637262652,0.224977830621859,0.335405436523652,-4.85127683674843,0.550060121833666,0.210811452885029,0.294911302258665,-4.58510897180271,0.226083760700841,0.336229086897455,-4.88004991733854,0.54784871564927,0.270195943623238,0.400875677930321,0.341500708820892,0.245694151689037,0.145426390220469,0.0415281324596919,0.0714095671388641,0.168394650848647,0.258537357441614,0.309052390487222,0.191890166200047,1
0.01,1710693,0.1,32,mvi,4,0.390575150648753,1,0.045901487784922,0.0664283366090505,0.715457136101431,0.0331698907986413,0.0932262921241778,0.540496665745076,0.870253750965252,0.0448034446204595,0.0642527533383447,0.733789961474884,0.0320816375979582,0.0912713860368287,0.559565697775798,0.873960936002213,0.0820504828184658,0.102495783845133,0.124747769948656,0.128907713305601,0.144446023298319,0.15547934800932,0.149162390550282,0.140571380348728,0.113602713636123,0.0686920907094333,0.0326520907585727,2
0.01,1710693,0.1,32,aldknni_fixed,4,131.954396728675,0.968778734699914,0.0436159766055225,0.0631543536898421,0.742813876202169,0.0314971854535405,0.0902237170855651,0.569618816916835,0.876092375291365,0.0427694783990346,0.0613236684085818,0.757508122389746,0.0306657773129698,0.0886591208382743,0.584416128020867,0.878870155434869,0.0704910097543353,0.0613124353219081,0.093845008137047,0.109399260797062,0.128656275580735,0.142976336432193,0.140382635226469,0.136440827329041,0.11294270790015,0.0692722319243926,0.030241090421455,2
0.01,1710693,0.1,32,aldknni_optim,4,1293.52569745779,0.968778734699914,0.0413090831002845,0.0659915500431286,0.719186746158292,0.0314848158099733,0.0905045850670296,0.566935078111121,0.87654733681574,0.0407163340591866,0.0642422638878426,0.733876873519697,0.0307278364913127,0.0890077411894908,0.581141431848815,0.878979766451163,0.0559624393063584,0.0570670265378811,0.0928325948378612,0.111528882644348,0.13272883832402,0.148204781246911,0.146289855902368,0.143588220269842,0.121675397996787,0.078233282145831,0.0249029327521171,2
0.01,1710693,0.1,32,linkimpute,2,12.0750073313713,1,0.205029619322524,0.289847446939834,-4.41726276543646,0.219475674478121,0.331278046690889,-4.73669082459942,0.561063265004299,0.20595695056799,0.290728383726831,-4.45024230903986,0.220490145323767,0.332041608459225,-4.7631662637349,0.559032823525077,0.260673377299549,0.394645661581794,0.341904025437343,0.246096364834735,0.144908486491536,0.0409340709388496,0.069994384467384,0.168877076762018,0.258276041621087,0.306766173839354,0.186089031937933,2
0.01,1710693,0.1,32,mvi,4,0.386650983492533,1,0.045909306108832,0.0664732718065948,0.714633554029782,0.033164483633241,0.0932797704290264,0.53932705044895,0.870360725156413,0.0447627176265085,0.0641941660253483,0.733866271603757,0.0320177547681201,0.0911929073297454,0.559708909128102,0.874229669135556,0.0827111622731941,0.111573952222437,0.120195775927947,0.13056272448401,0.142812504659733,0.15625652391371,0.152794643113787,0.140044144227646,0.113380459849643,0.0685356475140816,0.032689470936891,3
0.01,1710693,0.1,32,aldknni_fixed,4,131.125658051173,0.968567124551278,0.04362024000342,0.0631770199181042,0.742233147550108,0.0314664971957022,0.0901932233154844,0.569309204568282,0.876231878285084,0.042731268007377,0.0612785506732424,0.757492169658075,0.030600969382425,0.0885587837495325,0.584777325834935,0.879113523245961,0.0712230430451797,0.0639847033733238,0.0918527986000495,0.110782067178413,0.126524921819894,0.143215507920447,0.144052399723969,0.13576028598403,0.112779797561871,0.069133373910769,0.0302860733857986,3
